,gender/Woman,gender/Man,dominant_gender,region/x,region/y,region/w,region/h,race/asian,race/indian,race/black,race/white,race/middle eastern,race/latino hispanic,dominant_race,index
1306,1.6326554119586945,98.36734533309937,Man,438,439,268,267,16.087061166763306,8.932700753211975,6.305644661188126,31.870347261428833,16.31825715303421,20.48599421977997,white,1650
1307,98.71773719787598,1.282256655395031,Woman,345,717,186,186,1.1640398288118634,0.5356932697526539,0.19348898182305477,78.67830737570613,7.413645227389959,12.014827819446065,white,1651
1308,0.5847204942256212,99.4152843952179,Man,476,202,155,154,0.8332451805472374,1.697687804698944,0.1092855236493051,60.51871180534363,19.862477481365204,16.97859764099121,white,1653
1309,0.05636917194351554,99.94363188743591,Man,418,418,554,555,0.00012870624459537794,0.00015832254121050937,5.350698373263185e-06,99.17376637458801,0.47243786975741386,0.35350872203707695,white,1654
1310,0.08273440762422979,99.91726279258728,Man,455,170,321,321,0.7357834838330746,2.6831129565835,0.2734959125518799,62.14855909347534,23.169171810150146,10.989879071712494,white,1655
1311,0.40252949111163616,99.59747195243835,Man,-28,44,119,108,7.40254819393158,16.826428472995758,10.429167002439499,18.861080706119537,20.522478222846985,25.95829963684082,latino hispanic,1656
1312,2.357666939496994,97.64233231544495,Man,20,20,107,108,1.506289367382451,72.64169128438131,0.6341699801141,0.95770789551233,1.3062555037445431,22.953890020118955,indian,1658
1313,80.92033267021179,19.079668819904327,Woman,290,418,385,386,41.79095826041201,1.7477592674206814,0.7152948915564885,24.08546347444814,4.605217454459364,27.055311448015146,asian,1659
1314,99.40639138221741,0.5936126224696636,Woman,593,196,90,89,0.24785477748392687,1.0140426130022175,0.07695860571726297,60.05552172991763,24.191458475080637,14.41416379297756,white,1660
1315,8.281755867756146e-05,99.99991655349731,Man,504,204,385,386,0.00017599944788471508,1.0533304560684613,0.000358016498534254,16.44194526172337,80.29008742689044,2.214099016595004,middle eastern,1662
1316,88.89143466949463,11.108570545911789,Woman,408,236,154,155,0.0001688742687608175,0.0007632042980137282,6.005657843091817e-06,98.30333570281692,1.0934155806500412,0.6023135288582478,white,1663
1317,20.471537113189697,79.5284628868103,Man,297,554,462,462,0.008840671216603369,0.014443090185523033,0.0006869043318147305,92.49195456504822,2.2709067910909653,5.213164538145065,white,1664
1318,0.20655931439250708,99.79344606399536,Man,469,263,186,186,0.15673537043022337,0.1929988151899764,0.025645417991379975,81.59550318691153,5.845100781029509,12.184017132760115,white,1666
